1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3636.720070331411,3690.390975830137,3641.194236932579,3665.5760211071997,3676.804053447368,3632.414123530095,3740.919508623635,3672.494541536644,3656.2758952903046,3736.8965042938858,3715.2650833021266,3652.0410618345845,3726.673526423188,3615.343547546359,3730.289752281274,3658.0849172115536,3683.354975827295,3694.377060679543,3760.9009533190565,3680.074724614983
8.262544E8,3.14762041E8,4.43759172E8,5.50449337E8,5.25440488E8,2.9420893E8,2.9674628E8,9.70575741E8,4.26871202E8,3.67685403E8,3.8708663E8,3.9154346E8,4.22413567E8,4.47561407E8,4.53069188E8,4.77626877E8,5.38943995E8,5.43036211E8,5.83971273E8,5.75690881E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3496.9063964347206,3619.485673053336,3626.2402953477604,3606.004573740114,3610.9689102159873,3682.130800266572,3665.139858543182,3683.021198099027,3672.819130135409,3665.893728181905,3630.212574763079,3690.9175926721473,3629.114070807748,3746.1558616776733,3659.4257907410483,3730.032285665713,3755.0119758168385,3695.239887056441,3657.1166114688344,3748.282003026299
6.41089579E8,4.72492501E8,4.90274687E8,3.9739203E8,6.48514154E8,2.96012057E8,3.36335297E8,6.36615387E8,3.53276019E8,3.80782785E8,3.65286195E8,4.02436953E8,4.2415605E8,4.72270532E8,4.75688469E8,4.99493924E8,5.19873491E8,5.51717702E8,5.87661442E8,5.88642387E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3719.864329869732,3855.6476690974278,4063.1255729552045,4090.5957200911903,3976.761627028111,4067.105780953828,4027.748204271562,3955.830485976643,4117.164577210493,4120.528251834648,4074.661534513777,4115.086341293816,4166.040151851284,4056.900605262084,4039.5432055927477,3941.9444822393925,3968.112368409234,4017.114934631772,4005.378021611844,4074.7466294253977
4.34217977E8,5.4675475E8,4.4672174E8,3.78829992E8,3.52915985E8,3.09386523E8,2.90827496E8,3.15948853E8,3.24071505E8,3.51188775E8,3.76754431E8,4.66414771E8,4.43679217E8,4.5675791E8,4.86109874E8,5.77978461E8,5.53709117E8,5.8821637E8,6.19799366E8,6.47117948E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3497.337862041729,3548.1416197653557,3455.15625545826,3464.525190463639,3567.729661534742,3583.2583816267206,3589.5793647997466,3558.881126017842,3544.228665577215,3601.544033941123,3643.2638137107133,3557.7771551464357,3608.0727898205855,3495.166186632305,3516.5965254831012,3540.5543703423673,3599.048758343515,3543.0764324823244,3598.474142122648,3647.4219680761703
4.47766528E8,5.94696099E8,5.89365481E8,7.86184158E8,4.85858676E8,2.81641053E8,3.28873862E8,3.21907075E8,3.15580985E8,3.58067319E8,3.81366765E8,4.01052547E8,4.10389075E8,4.50632811E8,6.84069864E8,5.09425547E8,5.47694141E8,5.44104677E8,5.70458876E8,5.94535082E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3698.5445337064907,3912.1441866072128,3829.8428582207916,3848.9765577714766,3800.0900190267384,3966.7624839235623,3857.2444089418873,3844.415827762538,3856.572104781445,3857.5427321542074,3851.1694712673025,3910.4599727938944,3960.4660388758516,3862.199720188587,3838.765727360594,3792.235353969891,3889.0933721719316,3835.159968155086,3789.179794192485,3910.4031188880217
5.79882001E8,2.8991332E8,5.46582867E8,3.01554884E8,3.50374991E8,2.87191935E8,2.86609578E8,5.09914502E8,3.4414854E8,3.82227819E8,3.95475434E8,3.79848905E8,4.02399359E8,4.3035124E8,4.53352152E8,4.76256394E8,4.94332264E8,5.24169264E8,5.36459382E8,5.72977558E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3513.6358235780613,3750.42934492567,3721.9810523083866,3817.6434647492256,3858.1387879894633,3927.9653661999982,3834.4658210779817,3717.5198707204017,3787.226029890897,3874.6572698474547,3880.203422309083,3936.6465918643808,3832.9416036682896,3805.1686666828837,3871.1946366859524,3868.9045403580394,3914.61180261443,3810.839118403572,3846.6046158224462,3782.6873049363817
5.35662278E8,2.79675552E8,5.53981209E8,3.12898322E8,2.67056024E8,2.99855114E8,2.70136092E8,3.15809351E8,3.23412077E8,3.41609378E8,3.78519811E8,3.95893852E8,4.29009501E8,4.4326527E8,4.69484096E8,5.09914899E8,5.16305934E8,5.38461236E8,5.64652664E8,5.85819626E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3281.881226689515,3280.4653638545115,3382.239168321455,3439.632042039503,3353.0642908594755,3331.337220024961,3418.4945378248062,3413.846294441128,3367.7346457271624,3443.5262059353654,3412.181779469224,3365.8479822494496,3396.3433489667077,3423.83231654925,3370.212890304604,3375.7982344859797,3388.7366397101414,3381.316441441528,3430.7700271307485,3345.296068992134
6.37949041E8,3.06409121E8,3.9993562E8,3.6049672E8,5.08011462E8,3.00069325E8,3.06633003E8,3.20807525E8,3.28858006E8,3.54844819E8,3.65251807E8,3.9905813E8,4.29236969E8,4.55238157E8,4.74817975E8,4.9107023E8,5.19012881E8,5.36529805E8,5.70359354E8,5.83422595E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
4386.076842165123,4439.655081231721,4441.562181880134,4587.781781631796,4520.620591996206,4576.443206527646,4478.032837272424,4622.610931373222,4336.220015664665,4589.1687816591775,4477.767174151303,4547.832247273945,4477.1997111583005,4456.093691509412,4522.28591183301,4515.144474986832,4530.284152840966,4531.011471424093,4527.450505650941,4493.390574317955
5.43069321E8,4.61554635E8,2.8632673E8,4.05051522E8,3.18945048E8,2.52727021E8,2.84675421E8,3.03985029E8,3.2204568E8,3.50059886E8,3.7615458E8,4.03545411E8,4.25062793E8,4.40999765E8,4.68273402E8,5.11281314E8,5.24717246E8,5.41790963E8,5.65246153E8,5.78877966E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3134.03103422914,3143.138786485359,3219.518340404223,3181.0794333439553,3206.30600480762,3281.375893170432,3204.3785159735307,3309.272576013586,3184.261562299634,3324.0718757929103,3258.23832933725,3203.5504996643676,3133.377673674402,3269.465133862318,3212.954023915985,3246.4055856618907,3152.010633241094,3233.7490354988736,3258.6065476848567,3229.225252568043
4.71020616E8,2.59358326E8,3.49421501E8,3.86606576E8,2.95415124E8,2.88939067E8,2.86813552E8,3.07152921E8,3.21248921E8,3.44842117E8,3.85162814E8,3.92441025E8,4.06011074E8,4.32985585E8,4.52618954E8,4.75243652E8,5.03627956E8,5.2074101E8,5.5359372E8,5.62666144E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
2973.268269530937,3264.749150668735,3225.529720694967,3216.0006940269136,3247.309475052204,3329.8839526491333,3165.4298924159134,3310.613132316464,3263.8026043961363,3254.6530851915213,3247.4985243073056,3171.6806784765313,3297.0693004844347,3337.1524589584596,3282.8764822555386,3270.262626606679,3296.158028684378,3169.6002727639675,3297.567959140446,3287.085540830633
5.90817877E8,3.22981268E8,2.9050516E8,3.89916103E8,5.88817398E8,7.72930885E8,5.82732285E8,3.35824427E8,3.87891867E8,3.8178669E8,5.40372585E8,4.52888664E8,6.48515308E8,5.05853643E8,4.72582343E8,4.8811099E8,5.36527486E8,5.36645172E8,5.53413321E8,5.81553268E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
4039.949990723606,4395.57054105636,4419.402296125167,4446.232933467152,4463.385066721264,4401.968263841623,4350.453559295223,4535.048033315722,4472.829357661163,4488.559417249556,4470.1123845189795,4502.133920177601,4411.163967145869,4321.7040524551585,4432.625377033931,4456.691317697977,4386.7382581980755,4440.877841445535,4483.570811140113,4420.263558230877
5.39417E8,5.61071423E8,4.71194513E8,3.69320432E8,3.59646248E8,2.43933652E8,2.83801995E8,3.01197799E8,3.36012448E8,3.44243228E8,3.76069447E8,3.98923669E8,4.30489163E8,4.50989598E8,4.68683956E8,4.88930977E8,5.08749534E8,5.36442892E8,5.64746686E8,5.94484557E8
1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191
3322.079037000588,3406.0080088397126,3476.0762774351642,3368.8794174179347,3487.5462129517646,3475.1524719408344,3488.6692828485648,3539.7690469210356,3551.819012380195,3476.1652750517687,3497.114191084237,3542.51399216375,3501.1677842744302,3517.375275170918,3457.1303731820544,3433.8071213464045,3501.629006070908,3476.054620124204,3474.560421677382,3476.83810529513
5.44590839E8,3.34947722E8,5.50111346E8,4.14692253E8,3.87096592E8,2.60078287E8,2.8574643E8,2.96530853E8,3.27278002E8,3.50753476E8,3.71819634E8,3.92788508E8,4.20976414E8,4.41474116E8,4.65406555E8,5.27891077E8,5.52133391E8,6.48839787E8,5.8199271E8,5.9274448E8
