"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"2379.2766330079453","3128.5819845947767","3128.5819845947767","3128.5819845947767","3128.5819845947767","3128.5819845947767","3128.5819845947767","3128.5819845947767","3128.5819845947767","3128.5819845947767","3128.5819845947767"
"742636","3991808","3522314","2457836","776775","5985878","2752872","2062197","2396299","4920793","3296214"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"1835.5938803530546","2700.2568058856054","2700.2568058856054","2700.2568058856054","2700.2568058856054","2700.2568058856054","2700.2568058856054","2700.2568058856054","2700.2568058856054","2700.2568058856054","2700.2568058856054"
"937918","4032221","3514863","2231718","1227951","1533099","1767323","10065644","2833151","3786580","2548271"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"2255.4923835045083","3725.5382852487587","3725.5382852487587","3725.5382852487587","3725.5382852487587","3725.5382852487587","3725.5382852487587","3725.5382852487587","3725.5382852487587","3725.5382852487587","3725.5382852487587"
"958609","3735961","2855887","2792253","1275625","1478210","1662239","1941970","2254393","2478798","15971316"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"1914.0840926176597","2379.41979747095","2379.41979747095","2379.41979747095","2379.41979747095","2379.41979747095","2379.41979747095","2379.41979747095","2379.41979747095","2379.41979747095","2379.41979747095"
"3960231","3465758","4274834","2031853","1558160","30002895","18692113","2031536","1691731","1839677","2259838"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"2555.0646483939854","3132.1649099899287","3177.0103458266562","3177.0103458266562","3177.0103458266562","3177.0103458266562","3177.0103458266562","3177.0103458266562","3177.0103458266562","3177.0103458266562","3177.0103458266562"
"752471","3304245","2708739","3739968","1632872","1438530","2114281","1962655","3242069","6458581","7002937"
"10","510","1010","1510","2010","2510","3010","3510","4010","4510","5010"
"2624.6041816342895","3162.871869522927","3162.871869522927","3162.871869522927","3162.871869522927","3162.871869522927","3162.871869522927","3162.871869522927","3162.871869522927","3162.871869522927","3162.871869522927"
"1020962","3537296","2931238","2880352","1251023","1705735","2630719","2131362","2943204","3327950","10931158"